   Time             I(L1)             Ibat              V(L1)             K2                K1                Vbat_U            Vbat            
 1.000000000E+001  5.331646845E-001  5.331966843E-001  3.198982168E+002  0.000000000E+000  1.000000000E+000  3.201000000E+002  1.777358936E-003 
 2.000000000E+001  1.066325412E+000  1.066357412E+000  3.198946563E+002  0.000000000E+000  1.000000000E+000  3.199982226E+002  5.331923594E-003 
 3.000000000E+001  1.599478231E+000  1.599510230E+000  3.198887263E+002  0.000000000E+000  1.000000000E+000  3.199946681E+002  1.125607391E-002 
 4.000000000E+001  2.132619192E+000  2.132651190E+000  3.198804268E+002  0.000000000E+000  1.000000000E+000  3.199887439E+002  1.954976595E-002 
 5.000000000E+001  2.665744346E+000  2.665776343E+000  3.198697577E+002  0.000000000E+000  1.000000000E+000  3.199804502E+002  3.021293825E-002 
 6.000000000E+001  3.198849743E+000  3.198881739E+000  3.198567193E+002  0.000000000E+000  1.000000000E+000  3.199697871E+002  4.324551176E-002 
 7.000000000E+001  3.731931436E+000  3.731963430E+000  3.198413116E+002  0.000000000E+000  1.000000000E+000  3.199567545E+002  5.864738991E-002 
 8.000000000E+001  4.264985474E+000  4.265017466E+000  3.198235346E+002  0.000000000E+000  1.000000000E+000  3.199413526E+002  7.641845857E-002 
 9.000000000E+001  4.798007910E+000  4.798039900E+000  3.198033886E+002  0.000000000E+000  1.000000000E+000  3.199235815E+002  9.655858605E-002 
 1.000000000E+002  5.330994795E+000  5.331026784E+000  3.197808737E+002  0.000000000E+000  1.000000000E+000  3.199034414E+002  1.190676231E-001 
 1.100000000E+002  5.863942182E+000  5.863974168E+000  3.197559901E+002  0.000000000E+000  1.000000000E+000  3.198809324E+002  1.439454030E-001 
 1.200000000E+002  6.396846122E+000  6.396878105E+000  3.197287379E+002  0.000000000E+000  1.000000000E+000  3.198560546E+002  1.711917414E-001 
 1.300000000E+002  6.929702668E+000  6.929734648E+000  3.196991173E+002  0.000000000E+000  1.000000000E+000  3.198288083E+002  2.008064364E-001 
 1.400000000E+002  7.462507873E+000  7.462539850E+000  3.196671286E+002  0.000000000E+000  1.000000000E+000  3.197991936E+002  2.327892686E-001 
 1.500000000E+002  7.995257790E+000  7.995289763E+000  3.196327721E+002  0.000000000E+000  1.000000000E+000  3.197672107E+002  2.671400011E-001 
 1.600000000E+002  8.527948473E+000  8.527980443E+000  3.195960478E+002  0.000000000E+000  1.000000000E+000  3.197328600E+002  3.038583793E-001 
 1.700000000E+002  9.060575977E+000  9.060607942E+000  3.195569562E+002  0.000000000E+000  1.000000000E+000  3.196961416E+002  3.429441313E-001 
 1.800000000E+002  9.593136355E+000  9.593168316E+000  3.195154975E+002  0.000000000E+000  1.000000000E+000  3.196570559E+002  3.843969674E-001 
