   Time             I(L1)             I(C1)             I1                VP1               Vi                Vpont           
  1.388800000E-01   2.444455211E+01  -6.009245553E+00  -2.444456797E+01   5.516925904E+00   1.193466310E+02   7.926735899E+01 
  2.777600000E-01   5.135221497E+01  -5.511707491E+00  -5.135224470E+01   2.111195053E+01   1.503346012E+02   1.488217928E+02 
  4.166400000E-01   7.546472113E+01  -4.025572856E+00  -7.546476116E+01   4.560935933E+01   1.781491441E+02   2.001406788E+02 
  5.555200000E-01   9.522220084E+01  -1.675374192E+00  -9.522224618E+01   7.750252125E+01   1.962087117E+02   2.269357675E+02 
  6.944000000E-01   1.091056105E+02   1.041495797E+00  -1.091056557E+02   1.146613325E+02   2.004126613E+02   2.259237765E+02 
  8.332800000E-01   1.158751920E+02   3.579368920E+00  -1.158752315E+02   1.547978217E+02   1.902465470E+02   1.972286976E+02 
  9.721600000E-01   1.148176397E+02   5.364191871E+00  -1.148176686E+02   1.952341520E+02   1.689147319E+02   1.443666020E+02 
  1.111040000E+00   1.059385342E+02   6.259858053E+00  -1.059385490E+02   2.334675519E+02   1.422971257E+02   7.381480562E+01 
  1.249920000E+00   9.003539561E+01   6.401796395E+00   9.003539676E+01   2.669952187E+02   1.173299306E+02   5.778031118E+00 
  1.388800000E+00   6.704409230E+01   4.645113980E+00   6.704410923E+01   2.936266101E+02   1.004599843E+02   8.466723909E+01 
  1.527680000E+00   3.804735730E+01   9.157500767E-01   3.804738790E+01   3.117206809E+02   9.739470011E+01   1.531819304E+02 
  1.666560000E+00   5.965920299E+00  -3.570230412E+00   5.965960867E+00   3.200687499E+02   1.099041854E+02   2.029268567E+02 
  1.805440000E+00   3.391166323E-01   3.391061615E-01   3.391621703E-01   3.205957920E+02   2.129953417E+02   2.278061208E+02 
  1.944320000E+00   1.191567374E-02  -2.348475313E-02   1.196059429E-02   3.205978541E+02   2.196624436E+02   2.247716682E+02 
  2.083200000E+00   0.000000000E+00  -3.451539305E-05   1.938360583E-05   3.206000686E+02   2.221296840E+02   2.221255698E+02 
  2.222080000E+00   0.000000000E+00  -2.762667436E-02   1.398348104E-05   3.206023414E+02   2.233046835E+02   2.231026087E+02 
  2.360960000E+00   0.000000000E+00  -3.507325164E-05   6.821210263E-06   3.206046850E+02   2.239227487E+02   2.239202041E+02 
  2.499840000E+00   0.000000000E+00  -3.507212750E-05  -1.151079232E-06   3.206070159E+02   2.242882961E+02   2.240928995E+02 
  2.638720000E+00   0.000000000E+00  -3.527428635E-05  -9.023892744E-06   3.206093924E+02   2.244928242E+02   2.244919055E+02 
  2.777600000E+00   0.000000000E+00  -3.516767538E-05  -1.573141617E-05   3.206117429E+02   2.246316805E+02   2.244344204E+02 
  2.916480000E+00   0.000000000E+00  -1.419160882E-02  -2.057731763E-05   3.206141294E+02   2.247054945E+02   2.245022787E+02 
  3.055360000E+00   6.606928421E-02   6.605648100E-02  -6.611497859E-02   3.206164882E+02   2.247073142E+02   2.285306001E+02 
  3.194240000E+00   0.000000000E+00  -4.977708984E-02  -2.233946361E-05   3.206188579E+02   2.247144725E+02   2.247141045E+02 
  3.333120000E+00   0.000000000E+00  -3.517248479E-05  -1.912781045E-05   3.206212407E+02   2.247406342E+02   2.245402900E+02 
  3.472000000E+00   0.000000000E+00  -3.527482113E-05  -1.351452283E-05   3.206236010E+02   2.247689695E+02   2.247599528E+02 
  3.610880000E+00   0.000000000E+00  -3.515695062E-05  -6.266986929E-06   3.206259960E+02   2.247751336E+02   2.245731592E+02 
  3.749760000E+00   0.000000000E+00  -3.521821418E-05   1.719513421E-06   3.206283560E+02   2.247966600E+02   2.246003256E+02 
  3.888640000E+00   0.000000000E+00  -3.537229350E-05   9.521272659E-06   3.206307513E+02   2.247993249E+02   2.247989553E+02 
  4.027520000E+00   0.000000000E+00  -3.521151302E-05   1.617195267E-05   3.206331121E+02   2.248178813E+02   2.246199945E+02 
  4.166400000E+00   0.000000000E+00  -2.611638731E-02   2.080469130E-05   3.206355002E+02   2.248214945E+02   2.248213100E+02 
  4.305280000E+00   5.972567823E-02   5.971285896E-02   5.977148021E-02   3.206378677E+02   2.247738896E+02   2.291107290E+02 
  4.444160000E+00   0.000000000E+00  -5.559254576E-02   2.222577677E-05   3.206402282E+02   2.247634799E+02   2.245606477E+02 
  4.583040000E+00   0.000000000E+00  -3.516497600E-05   1.872990651E-05   3.206426230E+02   2.247686110E+02   2.245677628E+02 
  4.721920000E+00   0.000000000E+00  -3.527509398E-05   1.304556463E-05   3.206449838E+02   2.247858890E+02   2.247773944E+02 
  4.860800000E+00   0.000000000E+00  -3.534524149E-05   5.712763596E-06   3.206473783E+02   2.247859386E+02   2.247844710E+02 
  4.999680000E+00   0.000000000E+00  -3.521595499E-05  -2.302158464E-06   3.206497388E+02   2.248036459E+02   2.246067719E+02 
  5.138560000E+00   0.000000000E+00  -2.395810385E-03  -1.006128514E-05   3.206521337E+02   2.248034771E+02   2.246020058E+02 
  5.277440000E+00   0.000000000E+00  -3.530792674E-05  -1.655564574E-05   3.206544936E+02   2.248208230E+02   2.248152490E+02 
  5.416320000E+00   9.740548640E-03  -2.819886515E-02  -9.782614943E-03   3.206568746E+02   2.248258265E+02   2.105054709E+02 
  5.555200000E+00   5.393858822E-02   5.392576620E-02  -5.398452136E-02   3.206592489E+02   2.247705474E+02   2.295461466E+02 
  5.694080000E+00   0.000000000E+00  -2.780778572E-02  -2.206945737E-05   3.206616086E+02   2.247680297E+02   2.245645716E+02 
  5.832960000E+00   0.000000000E+00  -3.516218567E-05  -1.843147857E-05   3.206640032E+02   2.247692475E+02   2.245678012E+02 
  5.971840000E+00   0.000000000E+00  -3.521662438E-05  -1.256950100E-05   3.206663633E+02   2.247863275E+02   2.245904919E+02 
  6.110720000E+00   0.000000000E+00  -3.535574433E-05  -5.186961971E-06   3.206687573E+02   2.247866996E+02   2.247857782E+02 
  6.249600000E+00   0.000000000E+00  -3.520967584E-05   2.884803507E-06   3.206711176E+02   2.248038970E+02   2.246065242E+02 
